zb,zum beispiel
bsp,beispiel
bzw,beziehungsweise
dh,das heisst
dh.,das heisst
usw,und so weiter
uvm,und vieles mehr
ua,unter anderem
uebrigens,uebrigens
ggf,gegebenenfalls
ca,circa
inkl,inklusive
zzgl,zuzueglich
mwst,mehrwertsteuer
insb,insbesondere
bzl,bezueglich
vgl,vergleiche
s,siehe
abb,abbildung
tab,tabelle
kap,kapitel
abs,absatz
art,artikel
nr,nummer
tel,telefon
info,information
infos,informationen
uni,universitaet
unis,universitaeten
prof,professor
dr,doktor
std,stunde
std.,stunde
stdn,stunden
min,minuten
sek,sekunden
tgl,taeglich
mo,monat
mon,monat
monate,monate
btw,by the way
lg,liebe gruesse
vg,viele gruesse
mfg,mit freundlichen gruessen
cu,bis spaeter
ka,keine ahnung
kp,kein plan
ok,okay
vllt,vielleicht
evtl,eventuell
iwie,irgendwie
iwas,irgendwas
iwer,irgendwer
iwann,irgendwann
iwelche,irgendwelche
wdh,wiederholung
zzt,zur zeit
idr,in der regel
ad,anno domini
etc,et cetera
