w/,with
&,and
vs,versus
%,percent
yr,year
yrs,years
hr,hour
hrs,hours
min,minute
mins,minutes
sec,second
secs,seconds

vax,vaccine
vacc,vaccine
covid19,covid-19
covid,covid-19

govt,government
info,information
apptmt,appointment
dept,department

ER,emergency room
ICU,intensive care unit
CDC,centers for disease control
WHO,world health organization

Dr,doctor
Mr,mister
Mrs,mistress

approx,approximately
avg,average
est,estimated

btw,by the way
imo,in my opinion
idk,i do not know

w/o,without
w/out,without
w/in,within

u,you
ur,your
pls,please
thx,thanks

fig,figure
eq,equation

no.,number
#number,number

co,company
corp,corporation

Jan,January
Feb,February
Mar,March
Apr,April
Jun,June
Jul,July
Aug,August
Sep,September
Oct,October
Nov,November
Dec,December
