u,you
ur,your
urs,yours
r,are
y,why
ya,you
tho,though
tho.,though
thru,through
thoe,those
pls,please
pls.,please
plz,please
thx,thanks
tx,thanks
ty,thank you
tysm,thank you so much
yw,you are welcome
wc,you are welcome
np,no problem
np.,no problem
nvm,never mind
idk,i do not know
ikr,i know right
imo,in my opinion
imho,in my humble opinion
afaik,as far as i know
fyi,for your information
asap,as soon as possible
btw,by the way
b/c,because
bc,because
cos,because
cuz,because
coz,because
w/,with
w/o,without
msg,message
dm,direct message
pm,private message
faq,frequently asked questions
eta,estimated time of arrival
tbh,to be honest
rn,right now
lmk,let me know
omw,on my way
brb,be right back
bbl,be back later
ttyl,talk to you later
gtg,got to go
afaic,as far as i am concerned
atm,at the moment
irl,in real life
aka,also known as
appt,appointment
approx,approximately
dept,department
govt,government
info,information
intro,introduction
min,minute
mins,minutes
misc,miscellaneous
pic,picture
pics,pictures
photo,photograph
photos,photographs
prof,professor
ref,reference
refs,references
req,request
reqs,requests
temp,temporary
temps,temporaries
tech,technology
tel,telephone
approx.,approximately
dept.,department
govt.,government
info.,information
intro.,introduction
min.,minute
mins.,minutes
misc.,miscellaneous
prof.,professor
ref.,reference
refs.,references
req.,request
reqs.,requests
temp.,temporary
tech.,technology
tel.,telephone
doc,document
docs,documents
admin,administration
uni,university
lab,laboratory
labs,laboratories
exam,examination
exams,examinations
approximate,approximately
